segment	mapped_start	mapped_stop	0_x	0_y
PA	290	1823	1	1.0
PA	290	1851	1	1.0
PA	290	1858	1	1.0
PA	290	1868	1	1.0
PA	290	1905	1	1.0
PA	290	1913	1	1.0
PA	290	1944	1	1.0
PA	290	1952	1	1.0
PA	290	1987	1	1.0
PA	291	356	1	1.0
PA	291	374	1	1.0
PA	291	536	1	1.0
PA	291	1689	1	1.0
PA	291	1690	1	1.0
PA	291	1713	1	1.0
PA	291	1742	1	1.0
PA	291	1750	1	1.0
PA	291	1796	1	1.0
PA	291	1830	1	1.0
PA	291	1835	1	1.0
PA	291	1883	1	1.0
PA	291	1925	1	1.0
PA	291	1981	1	1.0
PA	291	1983	1	1.0
PA	291	2047	1	1.0
PA	292	344	1	1.0
PA	292	1719	1	1.0
PA	292	1762	1	1.0
PA	292	1801	1	1.0
PA	292	1814	1	1.0
PA	292	1838	1	1.0
PA	292	1871	1	1.0
PA	293	1416	1	1.0
PA	293	1677	1	1.0
PA	293	1751	1	1.0
PA	293	1764	1	1.0
PA	293	1772	1	1.0
PA	293	1797	1	1.0
PA	293	1806	1	1.0
PA	293	1809	1	1.0
PA	293	1818	1	1.0
PA	293	1870	1	1.0
PA	293	1877	1	1.0
PA	293	1890	1	1.0
PA	293	1892	1	1.0
PA	293	1921	1	1.0
PA	293	1968	1	1.0
PA	293	2083	1	1.0
PA	294	319	1	1.0
PA	294	351	1	1.0
PA	294	374	1	1.0
PA	294	1782	1	1.0
PA	294	1800	1	1.0
PA	294	1818	1	1.0
PA	294	1833	1	1.0
PA	294	1839	1	1.0
PA	294	1849	1	1.0
PA	294	1867	1	1.0
PA	294	1876	1	1.0
PA	294	1916	1	1.0
PA	294	1921	1	1.0
PA	294	1954	1	1.0
PA	294	1957	1	1.0
PA	294	1981	1	1.0
PA	295	1400	1	1.0
PA	295	1813	1	1.0
PA	295	1863	1	1.0
PA	295	1873	1	1.0
PA	295	1950	1	1.0
PA	295	2040	1	1.0
PA	296	345	1	1.0
PA	296	1498	1	1.0
PA	296	1744	1	1.0
PA	296	1796	1	1.0
PA	296	1806	1	1.0
PA	296	1813	1	1.0
PA	296	1860	1	1.0
PA	296	1873	1	1.0
PA	296	1909	1	1.0
PA	296	1927	1	1.0
PA	296	2013	1	1.0
PA	296	2170	1	1.0
PA	297	1806	1	1.0
PA	297	1810	1	1.0
PA	297	1813	1	1.0
PA	297	1870	1	1.0
PA	297	1905	1	1.0
PA	298	357	1	1.0
PA	298	1672	1	1.0
PA	298	1742	1	1.0
PA	298	1757	1	1.0
PA	298	1786	1	1.0
PA	298	1808	1	1.0
PA	298	1811	1	1.0
PA	298	1847	1	1.0
PA	298	1949	1	1.0
PA	298	1978	1	1.0
PA	298	1981	1	1.0
PA	299	1820	1	1.0
PA	299	1859	1	1.0
PA	299	1871	1	1.0
PA	299	1937	1	1.0
PA	300	348	1	1.0
PA	300	1716	1	1.0
PA	300	1851	1	1.0
PA	300	1931	1	1.0
PA	300	1944	1	1.0
PA	300	1945	1	1.0
PA	300	1972	1	1.0
PA	300	2071	1	1.0
PA	301	357	1	1.0
PA	301	379	1	1.0
PA	301	1641	1	1.0
PA	301	1696	1	1.0
PA	301	1729	1	1.0
PA	301	1742	1	1.0
PA	301	1791	1	1.0
PA	301	1794	1	1.0
PA	301	1812	1	1.0
PA	301	1818	1	1.0
PA	301	1825	1	1.0
PA	301	1836	1	1.0
PA	301	1839	1	1.0
PA	301	1845	1	1.0
PA	301	1851	1	1.0
PA	301	1890	1	1.0
PA	301	1950	1	1.0
PA	301	1954	1	1.0
PA	301	1989	1	1.0
PA	301	2013	1	1.0
PA	302	355	1	1.0
PA	302	371	1	1.0
PA	302	1806	1	1.0
PA	302	1838	1	1.0
PA	302	1958	1	1.0
PA	303	1869	1	1.0
PA	304	356	1	1.0
PA	304	358	1	1.0
PA	304	1656	1	1.0
PA	304	1674	1	1.0
PA	304	1695	1	1.0
PA	304	1795	1	1.0
PA	304	1811	1	1.0
PA	304	1828	1	1.0
PA	304	1840	1	1.0
PA	304	1850	1	1.0
PA	304	1871	1	1.0
PA	304	1875	1	1.0
PA	304	1889	1	1.0
PA	304	1910	1	1.0
PA	304	1948	1	1.0
PA	304	1970	1	1.0
PA	304	2013	1	1.0
PA	305	1370	1	1.0
PA	305	1372	1	1.0
PA	305	1632	1	1.0
PA	305	1659	1	1.0
PA	305	1715	1	1.0
PA	305	1717	1	1.0
PA	305	1752	1	1.0
PA	305	1826	1	1.0
PA	305	1878	1	1.0
PA	305	1889	1	1.0
PA	305	1941	1	1.0
PA	305	1987	1	1.0
PA	306	1774	1	1.0
PA	307	340	1	1.0
PA	307	357	1	1.0
PA	307	1631	1	1.0
PA	307	1805	1	1.0
PA	307	1849	1	1.0
PA	307	1851	1	1.0
PA	307	1890	1	1.0
PA	307	1934	1	1.0
PA	307	1978	1	1.0
PA	308	1697	1	1.0
PA	308	1743	1	1.0
PA	308	1813	1	1.0
PA	308	1830	1	1.0
PA	308	1862	1	1.0
PA	308	1866	1	1.0
PA	309	1842	1	1.0
PA	309	1858	1	1.0
PA	309	1890	1	1.0
PA	310	1807	1	1.0
PA	310	1835	1	1.0
PA	310	1942	1	1.0
PA	310	1971	1	1.0
PA	311	367	1	1.0
PA	311	1871	1	1.0
PA	311	1972	1	1.0
PA	311	1979	1	1.0
PA	312	382	1	1.0
PA	312	1561	1	1.0
PA	312	1572	1	1.0
PA	312	1710	1	1.0
PA	312	1714	1	1.0
PA	312	1716	1	1.0
PA	312	1751	1	1.0
PA	312	1772	1	1.0
PA	312	1788	1	1.0
PA	312	1800	1	1.0
PA	312	1802	1	1.0
PA	312	1818	1	1.0
PA	312	1858	1	1.0
PA	312	1905	1	1.0
PA	312	1913	1	1.0
PA	312	1921	1	1.0
PA	312	1940	1	1.0
PA	312	1968	1	1.0
PA	312	1991	1	1.0
PA	313	368	1	1.0
PA	313	391	1	1.0
PA	313	1628	1	1.0
PA	313	1662	1	1.0
PA	313	1672	1	1.0
PA	313	1691	1	1.0
PA	313	1703	1	1.0
PA	313	1711	1	1.0
PA	313	1723	1	1.0
PA	313	1732	1	1.0
PA	313	1735	1	1.0
PA	313	1756	1	1.0
PA	313	1763	1	1.0
PA	313	1796	1	1.0
PA	313	1798	1	1.0
PA	313	1800	1	1.0
PA	313	1802	1	1.0
PA	313	1813	1	1.0
PA	313	1818	1	1.0
PA	313	1851	1	1.0
PA	313	1863	1	1.0
PA	313	1870	1	1.0
PA	313	1872	1	1.0
PA	313	1876	1	1.0
PA	313	1890	1	1.0
PA	313	1908	1	1.0
PA	313	1911	1	1.0
PA	313	1912	1	1.0
PA	313	1942	1	1.0
PA	313	2008	1	1.0
PA	313	2085	1	1.0
PA	314	367	1	1.0
PA	314	1982	1	1.0
PA	314	2061	1	1.0
PA	315	1250	1	1.0
PA	315	1663	1	1.0
PA	315	1822	1	1.0
PA	315	1832	1	1.0
PA	315	1834	1	1.0
PA	315	1864	1	1.0
PA	315	1933	1	1.0
PA	316	1705	1	1.0
PA	316	1799	1	1.0
PA	316	1832	1	1.0
PA	316	1844	1	1.0
PA	317	384	1	1.0
PA	317	1753	1	1.0
PA	317	1764	1	1.0
PA	317	1806	1	1.0
PA	317	1946	1	1.0
PA	318	1732	1	1.0
PA	318	1841	1	1.0
PA	318	1865	1	1.0
PA	318	1908	1	1.0
PA	319	1467	1	1.0
PA	319	1811	1	1.0
PA	320	1804	1	1.0
PA	321	1817	1	1.0
PA	321	1828	1	1.0
PA	321	1861	1	1.0
PA	321	1948	1	1.0
PA	322	1429	1	1.0
PA	322	1780	1	1.0
PA	322	1783	1	1.0
PA	322	1807	1	1.0
PA	322	2017	1	1.0
PA	323	1879	1	1.0
PA	324	357	1	1.0
PA	324	1839	1	1.0
PA	324	1841	1	1.0
PA	324	1844	1	1.0
PA	325	1745	1	1.0
PA	325	1775	1	1.0
PA	325	1813	1	1.0
PA	325	1833	1	1.0
PA	326	1772	1	1.0
PA	326	1831	1	1.0
PA	327	1796	1	1.0
PA	328	1642	1	1.0
PA	330	1772	1	1.0
PA	330	1810	1	1.0
PA	331	357	1	1.0
PA	331	1469	1	1.0
PA	331	1833	1	1.0
PA	332	365	1	1.0
PA	332	1629	1	1.0
PA	333	362	1	1.0
PA	333	1683	1	1.0
PA	333	1803	1	1.0
PA	335	1828	1	1.0
PA	335	1868	1	1.0
PA	335	2006	1	1.0
PA	336	1762	1	1.0
PA	337	1531	1	1.0
PA	337	1909	1	1.0
PA	337	2007	1	1.0
PA	337	2060	1	1.0
PA	338	1714	1	1.0
PA	338	1716	1	1.0
PA	338	1751	1	1.0
PA	338	1758	1	1.0
PA	338	1772	1	1.0
PA	338	1814	1	1.0
PA	338	1945	1	1.0
PA	338	1968	1	1.0
PA	338	1986	1	1.0
PA	338	2046	1	1.0
PA	339	368	1	1.0
PA	339	380	1	1.0
PA	339	409	1	1.0
PA	339	411	1	1.0
PA	339	1480	1	1.0
PA	339	1628	1	1.0
PA	339	1763	1	1.0
PA	339	1766	1	1.0
PA	339	1796	1	1.0
PA	339	1805	1	1.0
PA	339	1833	1	1.0
PA	339	1836	1	1.0
PA	339	1841	1	1.0
PA	339	1847	1	1.0
PA	339	1872	1	1.0
PA	339	1934	1	1.0
PA	339	2002	1	1.0
PA	340	1726	1	1.0
PA	340	1787	1	1.0
PA	341	1840	1	1.0
PA	341	1846	1	1.0
PA	342	1627	1	1.0
PA	342	1828	1	1.0
PA	342	1847	1	1.0
PA	342	1981	1	1.0
PA	343	1645	1	1.0
PA	343	1810	1	1.0
PA	343	1814	1	1.0
PA	343	1823	1	1.0
PA	345	1817	1	1.0
PA	346	1810	1	1.0
PA	347	369	1	1.0
PA	347	373	1	1.0
PA	347	1627	1	1.0
PA	347	1695	1	1.0
PA	347	1741	1	1.0
PA	347	1781	1	1.0
PA	347	1790	1	1.0
PA	347	1799	1	1.0
PA	347	1801	1	1.0
PA	347	1817	1	1.0
PA	347	1824	1	1.0
PA	347	1843	1	1.0
PA	347	1859	1	1.0
PA	347	1882	1	1.0
PA	347	1941	1	1.0
PA	347	1948	1	1.0
PA	347	1953	1	1.0
PA	347	2042	1	1.0
PA	347	2096	1	1.0
PA	348	383	1	1.0
PA	348	1612	1	1.0
PA	348	1634	1	1.0
PA	348	1717	1	1.0
PA	348	1747	1	1.0
PA	348	1752	1	1.0
PA	348	1829	1	1.0
PA	348	1859	1	1.0
PA	348	1906	1	1.0
PA	349	424	1	1.0
PA	349	1143	1	1.0
PA	349	1740	1	1.0
PA	349	1753	1	1.0
PA	349	1758	1	1.0
PA	349	1851	1	1.0
PA	349	1904	1	1.0
PA	349	1916	1	1.0
PA	350	1672	1	1.0
PA	350	1735	1	1.0
PA	350	1812	1	1.0
PA	350	1836	1	1.0
PA	350	1848	1	1.0
PA	350	1851	1	1.0
PA	350	1860	1	1.0
PA	350	1864	1	1.0
PA	350	1865	1	1.0
PA	350	1934	1	1.0
PA	350	1954	1	1.0
PA	350	2043	1	1.0
PA	351	375	1	1.0
PA	351	1747	1	1.0
PA	351	1765	1	1.0
PA	351	1797	1	1.0
PA	351	1807	1	1.0
PA	351	1811	1	1.0
PA	351	1829	1	1.0
PA	351	1832	1	1.0
PA	351	1838	1	1.0
PA	351	1884	1	1.0
PA	351	1933	1	1.0
PA	351	1958	1	1.0
PA	352	1711	1	1.0
PA	352	1751	1	1.0
PA	352	1758	1	1.0
PA	352	1776	1	1.0
PA	352	1806	1	1.0
PA	352	1810	1	1.0
PA	352	1858	1	1.0
PA	352	1874	1	1.0
PA	352	1973	1	1.0
PA	353	388	1	1.0
PA	353	1748	1	1.0
PA	353	1756	1	1.0
PA	353	1766	1	1.0
PA	353	1818	1	1.0
PA	353	1839	1	1.0
PA	353	1844	1	1.0
PA	353	1849	1	1.0
PA	353	1851	1	1.0
PA	353	1860	1	1.0
PA	353	1889	1	1.0
PA	354	1663	1	1.0
PA	354	1733	1	1.0
PA	354	1830	1	1.0
PA	354	1865	1	1.0
PA	354	1905	1	1.0
PA	355	1280	1	1.0
PA	355	1633	1	1.0
PA	355	1643	1	1.0
PA	355	1710	1	1.0
PA	355	1754	1	1.0
PA	355	1813	1	1.0
PA	355	1905	1	1.0
PA	355	2026	1	1.0
PA	356	391	1	1.0
PA	356	400	1	1.0
PA	356	1620	1	1.0
PA	356	1628	1	1.0
PA	356	1723	1	1.0
PA	356	1732	1	1.0
PA	356	1743	1	1.0
PA	356	1748	1	1.0
PA	356	1761	1	1.0
PA	356	1782	1	1.0
PA	356	1791	1	1.0
PA	356	1796	1	1.0
PA	356	1802	1	1.0
PA	356	1805	1	1.0
PA	356	1813	1	1.0
PA	356	1847	1	1.0
PA	356	1863	1	1.0
PA	356	1934	1	1.0
PA	356	1942	1	1.0
PA	356	1949	1	1.0
PA	356	1957	1	1.0
PA	357	1670	1	1.0
PA	357	1815	1	1.0
PA	357	1845	1	1.0
PA	358	380	1	1.0
PA	358	1805	1	1.0
PA	359	1798	1	1.0
PA	359	1805	1	1.0
PA	359	1816	1	1.0
PA	359	1825	1	1.0
PA	360	1106	1	1.0
PA	360	1744	1	1.0
PA	360	1796	1	1.0
PA	360	1807	1	1.0
PA	361	1751	1	1.0
PA	361	1792	1	1.0
PA	361	1899	1	1.0
PA	362	1628	1	1.0
PA	362	1703	1	1.0
PA	362	1750	1	1.0
PA	362	1796	1	1.0
PA	362	1829	1	1.0
PA	363	393	1	1.0
PA	363	1658	1	1.0
PA	363	1787	1	1.0
PA	363	1820	1	1.0
PA	363	1928	1	1.0
PA	364	1655	1	1.0
PA	364	1662	1	1.0
PA	364	1751	1	1.0
PA	364	1766	1	1.0
PA	364	1813	1	1.0
PA	364	1837	1	1.0
PA	364	1844	1	1.0
PA	364	1851	1	1.0
PA	365	1349	1	1.0
PA	365	1629	1	1.0
PA	365	1630	1	1.0
PA	365	1657	1	1.0
PA	365	1684	1	1.0
PA	365	1732	1	1.0
PA	365	1735	1	1.0
PA	365	1742	1	1.0
PA	365	1749	1	1.0
PA	365	1750	1	1.0
PA	365	1756	1	1.0
PA	365	1794	1	1.0
PA	365	1830	1	1.0
PA	365	1942	1	1.0
PA	366	1618	1	1.0
PA	366	1805	1	1.0
PA	366	1810	1	1.0
PA	366	1844	1	1.0
PA	367	449	1	1.0
PA	367	1628	1	1.0
PA	367	1672	1	1.0
PA	367	1805	1	1.0
PA	367	1812	1	1.0
PA	367	1865	1	1.0
PA	368	660	1	1.0
PA	368	1487	1	1.0
PA	368	1631	1	1.0
PA	368	1803	1	1.0
PA	369	1628	1	1.0
PA	369	1766	1	1.0
PA	369	1794	1	1.0
PA	369	1800	1	1.0
PA	369	1813	1	1.0
PA	369	1818	1	1.0
PA	369	1839	1	1.0
PA	369	1851	1	1.0
PA	370	1747	1	1.0
PA	370	1793	1	1.0
PA	371	1807	1	1.0
PA	371	1811	1	1.0
PA	372	1805	1	1.0
PA	372	1821	1	1.0
PA	372	1890	1	1.0
PA	372	1917	1	1.0
PA	373	1591	1	1.0
PA	373	1689	1	1.0
PA	373	1735	1	1.0
PA	373	1800	1	1.0
PA	373	1934	1	1.0
PA	374	1771	1	1.0
PA	374	1793	1	1.0
PA	374	1795	1	1.0
PA	374	1829	1	1.0
PA	374	1848	1	1.0
PA	375	1708	1	1.0
PA	375	1767	1	1.0
PA	375	1864	1	1.0
PA	376	424	1	1.0
PA	376	1726	1	1.0
PA	376	1727	1	1.0
PA	376	1791	1	1.0
PA	376	1806	1	1.0
PA	376	1819	1	1.0
PA	376	1842	1	1.0
PA	377	1710	1	1.0
PA	377	1716	1	1.0
PA	377	1725	1	1.0
PA	377	1751	1	1.0
PA	377	1800	1	1.0
PA	377	1810	1	1.0
PA	377	1833	1	1.0
PA	377	1839	1	1.0
PA	377	1964	1	1.0
PA	378	418	1	1.0
PA	378	1737	1	1.0
PA	378	1751	1	1.0
PA	378	1757	1	1.0
PA	378	1805	1	1.0
PA	378	1806	1	1.0
PA	378	1863	1	1.0
PA	379	1555	1	1.0
PA	379	1638	1	1.0
PA	379	1684	1	1.0
PA	379	1794	1	1.0
PA	380	1631	1	1.0
PA	380	1877	1	1.0
PA	381	413	1	1.0
PA	381	436	1	1.0
PA	381	450	1	1.0
PA	381	1568	1	1.0
PA	381	1671	1	1.0
PA	381	1683	1	1.0
PA	381	1717	1	1.0
PA	381	1720	1	1.0
PA	381	1722	1	1.0
PA	381	1731	1	1.0
PA	381	1741	1	1.0
PA	381	1755	1	1.0
PA	381	1781	1	1.0
PA	381	1807	1	1.0
PA	381	1864	1	1.0
PA	382	419	1	1.0
PA	382	1666	1	1.0
PA	382	1695	1	1.0
PA	382	1715	1	1.0
PA	382	1728	1	1.0
PA	382	1739	1	1.0
PA	382	1773	1	1.0
PA	382	1843	1	1.0
PA	382	1859	1	1.0
PA	382	1948	1	1.0
PA	383	477	1	1.0
PA	383	1710	1	1.0
PA	384	1510	1	1.0
PA	384	1696	1	1.0
PA	384	1721	1	1.0
PA	384	1989	1	1.0
PA	385	1636	1	1.0
PA	385	1661	1	1.0
PA	385	1755	1	1.0
PA	385	1762	1	1.0
PA	385	1814	1	1.0
PA	386	555	1	1.0
PA	386	1609	1	1.0
PA	386	1683	1	1.0
PA	386	1717	1	1.0
PA	386	1828	1	1.0
PA	386	1834	1	1.0
PA	386	1838	1	1.0
PA	386	1846	1	1.0
PA	386	1933	1	1.0
PA	386	1952	1	1.0
PA	386	2006	1	1.0
PA	387	1727	1	1.0
PA	387	1733	1	1.0
PA	387	1773	1	1.0
PA	387	1906	1	1.0
PA	388	1672	1	1.0
PA	388	1718	1	1.0
PA	388	1723	1	1.0
PA	388	1743	1	1.0
PA	388	1802	1	1.0
PA	388	1865	1	1.0
PA	389	1647	1	1.0
PA	389	1810	1	1.0
PA	389	1937	1	1.0
PA	389	2056	1	1.0
PA	390	1565	1	1.0
PA	390	1713	1	1.0
PA	390	1778	1	1.0
PA	390	1780	1	1.0
PA	390	1833	1	1.0
PA	391	1743	1	1.0
PA	392	1720	1	1.0
PA	392	1781	1	1.0
PA	392	1969	1	1.0
PA	393	1633	1	1.0
PA	393	1754	1	1.0
PA	393	1792	1	1.0
PA	393	1810	1	1.0
PA	394	1721	1	1.0
PA	394	1729	1	1.0
PA	394	1732	1	1.0
PA	394	1735	1	1.0
PA	394	1829	1	1.0
PA	394	1864	1	1.0
PA	394	1865	1	1.0
PA	394	1971	1	1.0
PA	395	475	1	1.0
PA	395	1469	1	1.0
PA	395	1631	1	1.0
PA	395	1707	1	1.0
PA	395	1716	1	1.0
PA	395	1746	1	1.0
PA	395	1806	1	1.0
PA	395	1818	1	1.0
PA	395	1891	1	1.0
PA	395	1905	1	1.0
PA	396	1662	1	1.0
PA	396	1672	1	1.0
PA	396	1721	1	1.0
PA	396	1763	1	1.0
PA	396	1796	1	1.0
PA	396	1812	1	1.0
PA	396	1847	1	1.0
PA	396	1865	1	1.0
PA	397	1719	1	1.0
PA	397	1758	1	1.0
PA	397	1772	1	1.0
PA	397	1773	1	1.0
PA	397	1810	1	1.0
PA	397	1877	1	1.0
PA	398	1563	1	1.0
PA	398	1713	1	1.0
PA	398	1721	1	1.0
PA	398	1737	1	1.0
PA	398	1772	1	1.0
PA	398	1773	1	1.0
PA	399	1638	1	1.0
PA	399	1749	1	1.0
PA	399	1768	1	1.0
PA	399	1793	1	1.0
PA	399	2012	1	1.0
PA	400	1773	1	1.0
PA	401	1717	1	1.0
PA	401	1747	1	1.0
PA	401	1767	1	1.0
PA	402	1741	1	1.0
PA	403	1775	1	1.0
PA	404	1318	1	1.0
PA	404	1628	1	1.0
PA	404	1682	1	1.0
PA	404	1703	1	1.0
PA	404	1748	1	1.0
PA	404	1793	1	1.0
PA	404	1794	1	1.0
PA	404	1802	1	1.0
PA	405	1642	1	1.0
PA	405	1658	1	1.0
PA	406	437	1	1.0
PA	406	1983	1	1.0
PA	407	1379	1	1.0
PA	407	1586	1	1.0
PA	407	1633	1	1.0
PA	407	1685	1	1.0
PA	407	1701	1	1.0
PA	407	1704	1	1.0
PA	407	1716	1	1.0
PA	407	1733	1	1.0
PA	407	1738	1	1.0
PA	407	1791	1	1.0
PA	407	1806	1	1.0
PA	407	1921	1	1.0
PA	407	1939	1	1.0
PA	407	1944	1	1.0
PA	407	2019	1	1.0
PA	408	446	1	1.0
PA	408	1593	1	1.0
PA	408	1613	1	1.0
PA	408	1628	1	1.0
PA	408	1683	1	1.0
PA	408	1696	1	1.0
PA	408	1718	1	1.0
PA	408	1723	1	1.0
PA	408	1742	1	1.0
PA	408	1791	1	1.0
PA	408	1830	1	1.0
PA	408	1833	1	1.0
PA	408	1836	1	1.0
PA	408	1865	1	1.0
PA	408	2002	1	1.0
PA	408	2039	1	1.0
PA	409	462	1	1.0
PA	409	1643	1	1.0
PA	409	1678	1	1.0
PA	409	1704	1	1.0
PA	409	1705	1	1.0
PA	409	1706	1	1.0
PA	409	1707	1	1.0
PA	409	1740	1	1.0
PA	409	1746	1	1.0
PA	409	1751	1	1.0
PA	409	1754	1	1.0
PA	409	1806	1	1.0
PA	409	1810	1	1.0
PA	409	1842	1	1.0
PA	409	1972	1	1.0
PA	410	437	1	1.0
PA	410	438	1	1.0
PA	410	1641	1	1.0
PA	410	1657	1	1.0
PA	410	1689	1	1.0
PA	410	1721	1	1.0
PA	410	1723	1	1.0
PA	410	1724	1	1.0
PA	410	1756	1	1.0
PA	410	1761	1	1.0
PA	410	1781	1	1.0
PA	410	1791	1	1.0
PA	410	1812	1	1.0
PA	410	1829	1	1.0
PA	410	1833	1	1.0
PA	410	1835	1	1.0
PA	410	1865	1	1.0
PA	410	1899	1	1.0
PA	411	1714	1	1.0
PA	411	1749	1	1.0
PA	411	1764	1	1.0
PA	411	1774	1	1.0
PA	411	1797	1	1.0
PA	412	1570	1	1.0
PA	412	1704	1	1.0
PA	412	1714	1	1.0
PA	412	1740	1	1.0
PA	412	1745	1	1.0
PA	412	1746	1	1.0
PA	412	1758	1	1.0
PA	412	1810	1	1.0
PA	413	1433	1	1.0
PA	413	1672	1	1.0
PA	413	1690	1	1.0
PA	413	1713	1	1.0
PA	413	1742	1	1.0
PA	413	1755	1	1.0
PA	413	1808	1	1.0
PA	413	1829	1	1.0
PA	413	1890	1	1.0
PA	413	1924	1	1.0
PA	414	454	1	1.0
PA	414	1689	1	1.0
PA	414	1769	1	1.0
PA	416	1612	1	1.0
PA	417	1345	1	1.0
PA	417	1568	1	1.0
PA	417	1575	1	1.0
PA	417	1668	1	1.0
PA	417	1696	1	1.0
PA	417	1734	1	1.0
PA	417	1736	1	1.0
PA	417	1741	1	1.0
PA	417	1742	1	1.0
PA	417	1755	1	1.0
PA	417	1811	1	1.0
PA	417	1817	1	1.0
PA	417	1830	1	1.0
PA	417	1948	1	1.0
PA	417	2023	1	1.0
PA	417	2038	1	1.0
PA	418	476	1	1.0
PA	418	1570	1	1.0
PA	418	1643	1	1.0
PA	418	1645	1	1.0
PA	418	1699	1	1.0
PA	418	1701	1	1.0
PA	418	1703	1	1.0
PA	418	1705	1	1.0
PA	418	1711	1	1.0
PA	418	1714	1	1.0
PA	418	1727	1	1.0
PA	418	1746	1	1.0
PA	418	1945	1	1.0
PA	419	1808	1	1.0
PA	419	1842	1	1.0
PA	420	1299	1	1.0
PA	420	1691	1	1.0
PA	420	1710	1	1.0
PA	420	1730	1	1.0
PA	420	1813	1	1.0
PA	420	1905	1	1.0
PA	421	1506	1	1.0
PA	421	1669	1	1.0
PA	421	1673	1	1.0
PA	421	1691	1	1.0
PA	421	1713	1	1.0
PA	421	1831	1	1.0
PA	421	1867	1	1.0
PA	422	1691	1	1.0
PA	422	1728	1	1.0
PA	422	1750	1	1.0
PA	422	1756	1	1.0
PA	422	1829	1	1.0
PA	423	1674	1	1.0
PA	423	1731	1	1.0
PA	423	1741	1	1.0
PA	423	1762	1	1.0
PA	423	1838	1	1.0
PA	423	1928	1	1.0
PA	424	1666	1	1.0
PA	424	1715	1	1.0
PA	424	1747	1	1.0
PA	424	1755	1	1.0
PA	425	1430	1	1.0
PA	426	1754	1	1.0
PA	427	1476	1	1.0
PA	427	1766	1	1.0
PA	427	1810	1	1.0
PA	428	1629	1	1.0
PA	428	1684	1	1.0
PA	428	1732	1	1.0
PA	428	1736	1	1.0
PA	428	1749	1	1.0
PA	428	1763	1	1.0
PA	429	1271	1	1.0
PA	429	1685	1	1.0
PA	429	1758	1	1.0
PA	429	1810	1	1.0
PA	430	461	1	1.0
PA	430	469	1	1.0
PA	430	1567	1	1.0
PA	430	1595	1	1.0
PA	430	1676	1	1.0
PA	430	1684	1	1.0
PA	430	1691	1	1.0
PA	430	1730	1	1.0
PA	430	1732	1	1.0
PA	430	1794	1	1.0
PA	430	1808	1	1.0
PA	430	1876	1	1.0
PA	430	2027	1	1.0
PA	431	1681	1	1.0
PA	431	1730	1	1.0
PA	431	1743	1	1.0
PA	431	1749	1	1.0
PA	431	1757	1	1.0
PA	432	1482	1	1.0
PA	432	1645	1	1.0
PA	432	1647	1	1.0
PA	432	1740	1	1.0
PA	432	1746	1	1.0
PA	432	1814	1	1.0
PA	433	1653	1	1.0
PA	433	1657	1	1.0
PA	433	1721	1	1.0
PA	433	1756	1	1.0
PA	434	1609	1	1.0
PA	435	1530	1	1.0
PA	435	1609	1	1.0
PA	435	1645	1	1.0
PA	435	1647	1	1.0
PA	435	1665	1	1.0
PA	435	1737	1	1.0
PA	435	1746	1	1.0
PA	435	1751	1	1.0
PA	435	1806	1	1.0
PA	435	1810	1	1.0
PA	435	1986	1	1.0
PA	436	461	1	1.0
PA	436	1647	1	1.0
PA	436	1682	1	1.0
PA	436	1684	1	1.0
PA	436	1691	1	1.0
PA	436	1697	1	1.0
PA	436	1703	1	1.0
PA	436	1718	1	1.0
PA	436	1721	1	1.0
PA	436	1732	1	1.0
PA	436	1766	1	1.0
PA	436	1937	1	1.0
PA	437	1676	1	1.0
PA	437	1697	1	1.0
PA	437	1730	1	1.0
PA	437	1737	1	1.0
PA	438	1724	1	1.0
PA	438	1831	1	1.0
PA	440	1695	1	1.0
PA	441	1521	1	1.0
PA	441	1614	1	1.0
PA	441	1656	1	1.0
PA	441	1695	1	1.0
PA	441	1720	1	1.0
PA	441	1724	1	1.0
PA	441	1778	1	1.0
PA	441	1864	1	1.0
PA	442	1597	1	1.0
PA	442	1647	1	1.0
PA	443	1723	1	1.0
PA	443	1865	1	1.0
PA	444	1336	1	1.0
PA	444	1716	1	1.0
PA	444	1719	1	1.0
PA	444	1727	1	1.0
PA	444	1730	1	1.0
PA	444	1937	1	1.0
PA	444	2019	1	1.0
PA	445	1278	1	1.0
PA	445	1615	1	1.0
PA	445	1660	1	1.0
PA	445	1664	1	1.0
PA	445	1669	1	1.0
PA	445	1718	1	1.0
PA	445	1721	1	1.0
PA	445	1991	1	1.0
PA	446	537	1	1.0
PA	446	1544	1	1.0
PA	446	1672	1	1.0
PA	447	1678	1	1.0
PA	447	1726	1	1.0
PA	448	1318	1	1.0
PA	448	1537	1	1.0
PA	448	1674	1	1.0
PA	448	1689	1	1.0
PA	448	1794	1	1.0
PA	448	1805	1	1.0
PA	448	1818	1	1.0
PA	448	1865	1	1.0
PA	448	1870	1	1.0
PA	449	1466	1	1.0
PA	449	1721	1	1.0
PA	449	1751	1	1.0
PA	449	1752	1	1.0
PA	450	1537	1	1.0
PA	450	1657	1	1.0
PA	450	1664	1	1.0
PA	450	1689	1	1.0
PA	450	1696	1	1.0
PA	450	1723	1	1.0
PA	450	1724	1	1.0
PA	451	1658	1	1.0
PA	451	1714	1	1.0
PA	451	1716	1	1.0
PA	451	1727	1	1.0
PA	452	1485	1	1.0
PA	452	1537	1	1.0
PA	452	1546	1	1.0
PA	452	1652	1	1.0
